Series Name,Series Code,Country Name,Country Code,1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bangladesh,BGD,5.31374007936498,10.2978117947206,2.37712902953223,5.30560105668802,8.40223795613228,6.10669589841958,2.20825620937535,2.0071737421384,3.33256493271913,5.66870773441476,7.5875363850469,7.04661816222039,6.76526117054757,9.10698496905383,8.90194489465154,5.42347236174679,8.12667639169917,11.3951651552399,6.21750422069284,7.53040640913172,6.99163889220849,6.19428022984984,5.51352572692995,5.70207015717239,5.54362139486476,5.59199639930629,5.69107474746211,5.54565430773473,7.69695437176898,9.8835030377921,10.4657482763412
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Bangladesh,BGD,28.9521640750639,28.827915737296,25.6338800863882,25.9368786504287,26.2325061615944,27.8851595216238,30.5539892604712,40.2671476674779,42.740177242997,43.9885771769768,45.6229943594212,47.4210681471904,50.4759985553139,50.2819117580457,51.1876270713566,54.8817155926531,58.7459016095395,59.8117683130297,60.7424608294873,61.399914294208,63.3375540979273,64.5065520747659,54.9691444990129,55.8375416123996,54.8325562875275,54.8702535060565,57.7630649896826,56.6372785923275,54.117700850947,51.2185633263359,48.7974312513377
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Bangladesh,BGD,16.2711918310691,20.8817607372616,18.9119975738864,19.9866312756307,20.4966379485471,20.9872341323173,21.7793890133235,24.179592705355,26.2081249737496,26.0386276764885,27.9134032883374,29.3438304968623,31.1657016961389,32.0428330535648,34.0421917464818,36.1910375652522,40.9613226292342,42.4702411629772,43.0006693750914,41.7947548053392,43.7361238704853,44.4069718062837,37.7986426672318,40.4489561448676,40.0247365906979,39.0344709350066,39.161059242521,39.0820163295701,38.9555684288032,37.6413802339103,35.8111715787963
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9042059394074,6.72327958982541,4.84439636539416,9.36516719804562,8.39790781352825,8.8585217562526,8.89566055291347,9.88732966644866,8.90213335235847,7.73754873370445,7.96907960398037,8.72436040117116,9.56912775275673,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,280.603031791216,309.458680823367,371.917937677345,379.284917709635,385.616881752796,388.095684268235,396.670730249751,394.65641001891,393.886422327628,426.74880754362,455.614016909798,480.08585075452,490.388026533289,537.955492792911,613.06204104124,679.211477428056,757.385280361508,837.336944695647,859.680536375497,958.262989798283,1094.46199702838,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41611680774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/28/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
